Species2_eBird,Family2,Order2,Mass,Habitat,Habitat.Density,Trophic.Level,Trophic.Niche,Migration,Primary.Lifestyle,mu.beak.l.c,mu.beak.l.n,mu.beak.w,mu.beak.d,mu.tarsus.l,mu.hwi,mu.tail.l
Accipiter brevipes,Accipitridae,Accipitriformes,186.5,Forest,1,Carnivore,Vertivore,3,Generalist,21.087500000000002,12.1125,8.712499999999999,11.1125,46.3875,40.212500000000006,153.5
Accipiter butleri,Accipitridae,Accipitriformes,122,Forest,1,Carnivore,Vertivore,1,Insessorial,20,11.9,6.6,12,48.7,25.8,127
Accipiter castanilius,Accipitridae,Accipitriformes,157.5,Forest,1,Carnivore,Vertivore,2,Insessorial,20.4875,11.5125,8.287500000000001,10.912500000000001,52.587500000000006,24.0125,135.4
Accipiter cirrocephalus,Accipitridae,Accipitriformes,165.7,Forest,1,Carnivore,Vertivore,2,Generalist,19.22,10.6,7.71,9.59,60.32,37.787499999999994,155.4
Accipiter collaris,Accipitridae,Accipitriformes,97.8,Forest,1,Carnivore,Vertivore,2,Insessorial,19.99285714285714,11.208333333333332,8.614285714285714,11.014285714285714,43.57857142857143,30.025,125
Accipiter cooperii,Accipitridae,Accipitriformes,429.7,Woodland,2,Carnivore,Vertivore,3,Aerial,25.39,13.9,8.59,13.18,62.019999999999996,32.287499999999994,188.4
Accipiter erythrauchen,Accipitridae,Accipitriformes,156,Forest,1,Carnivore,Vertivore,1,Generalist,21.1,12.2,8.6,11.212499999999999,59.4875,30.8125,154.775
Accipiter erythropus,Accipitridae,Accipitriformes,111.2,Forest,1,Carnivore,Vertivore,1,Insessorial,17.58,9.712499999999999,7.1899999999999995,9.58,42.980000000000004,27.1,104.4
Accipiter fasciatus,Accipitridae,Accipitriformes,358.7,Forest,1,Carnivore,Vertivore,1,Generalist,28.504545454545458,19.08,11.177272727272726,15.175,71.9,38.28,206
Accipiter francesiae,Accipitridae,Accipitriformes,136.8,Forest,1,Carnivore,Invertivore,1,Insessorial,20.225,13.116666666666667,8.715,10.705,48.1,27.77777777777778,127.5
Accipiter gentilis,Accipitridae,Accipitriformes,866,Forest,1,Carnivore,Vertivore,2,Generalist,33.71875,19.6125,11.587499999999999,17.975,67.30625,36.3,241.08125
Accipiter griseiceps,Accipitridae,Accipitriformes,251.8,Forest,1,Carnivore,Vertivore,1,Insessorial,24.1,14.6125,8.8,12.4,52,26.775,141.225
Accipiter gularis,Accipitridae,Accipitriformes,120.7,Forest,1,Carnivore,Vertivore,3,Insessorial,23.28,9.5,6.58,9.08,43.6,33.1875,106.4
Accipiter gundlachi,Accipitridae,Accipitriformes,675,Forest,1,Carnivore,Vertivore,1,Aerial,26,15.2,8.3,16.3,71.3,27.1,223
Accipiter haplochrous,Accipitridae,Accipitriformes,198.4,Forest,1,Carnivore,Vertivore,1,Insessorial,23.7125,13.912500000000001,9.6,13.175,58.8875,32.7,155
Accipiter henicogrammus,Accipitridae,Accipitriformes,358.7,Forest,1,Carnivore,Vertivore,1,Insessorial,27.91,15.925,9.99,13.6,65.08,31.087500000000002,190
Accipiter henstii,Accipitridae,Accipitriformes,1050,Forest,1,Carnivore,Vertivore,1,Insessorial,32.6,18.125,11.775,17.2,75.0125,26.9875,245
Accipiter hiogaster,Accipitridae,Accipitriformes,326.1,Forest,1,Carnivore,Vertivore,1,Insessorial,25.975,15.608333333333334,9.316666666666666,13.608333333333334,52.21666666666667,31.183333333333334,139.99166666666667
Accipiter imitator,Accipitridae,Accipitriformes,222.5,Forest,1,Carnivore,Vertivore,1,Insessorial,26.4,16.8,9.1,12.2,49.6,30,161
Accipiter luteoschistaceus,Accipitridae,Accipitriformes,214,Forest,1,Carnivore,Vertivore,1,Insessorial,26.4,16.8,7.8,11.9,51.5,30.3,146
Accipiter madagascariensis,Accipitridae,Accipitriformes,180.4,Forest,1,Carnivore,Vertivore,1,Insessorial,19.7125,10.6875,7.3875,9.425,57.9875,28.6875,149.5
Accipiter melanochlamys,Accipitridae,Accipitriformes,265,Forest,1,Carnivore,Vertivore,1,Generalist,25.89,15.6,10.98,13.9,62.7,32.412499999999994,164.8
Accipiter melanoleucus,Accipitridae,Accipitriformes,699,Forest,1,Carnivore,Vertivore,1,Generalist,29.61,18.025,10.32,16.29,75.82,35.0125,219.4
Accipiter meyerianus,Accipitridae,Accipitriformes,763.5,Forest,1,Carnivore,Vertivore,1,Generalist,35,20.625,12.625,18.625,75.4,32.975,200
Accipiter minullus,Accipitridae,Accipitriformes,87.4,Forest,1,Carnivore,Vertivore,1,Generalist,16.490000000000002,9.219999999999999,6.609999999999999,8.780000000000001,41.31999999999999,29.61,105.2
Accipiter nanus,Accipitridae,Accipitriformes,117,Forest,1,Carnivore,Invertivore,1,Insessorial,17.575000000000003,10.575,7.575,10.075,46.6,29.475,109
Accipiter nisus,Accipitridae,Accipitriformes,220.8,Forest,1,Carnivore,Vertivore,2,Insessorial,19.61,11.42,8.413636363636364,10.013636363636364,53.57666666666667,35.50833333333333,155.51666666666665
