Species2_eBird,Family2,Order2,Mass,Habitat,Habitat.Density,Trophic.Level,Trophic.Niche,Migration,Primary.Lifestyle,mu.beak.l.c,mu.beak.l.n,mu.beak.w,mu.beak.d,mu.tarsus.l,mu.hwi,mu.tail.l
Aplonis cinerascens,Sturnidae,Passeriformes,82.9,Forest,1,Herbivore,Omnivore,1,Insessorial,26.4125,15.575,5.7,7.775,32.087500000000006,23.2,75.5
Aplonis crassa,Sturnidae,Passeriformes,59,Forest,2,Herbivore,Frugivore,1,Insessorial,20.516666666666666,12.3,5.9,7.516666666666667,23.2,28.383333333333333,73.31666666666666
Aplonis dichroa,Sturnidae,Passeriformes,84,Forest,1,Herbivore,Frugivore,1,Insessorial,26.625,14.787500000000001,5.916666666666667,7.491666666666667,28,21.1875,75.31666666666666
Aplonis feadensis,Sturnidae,Passeriformes,72,Forest,1,Omnivore,Frugivore,1,Insessorial,25.8,14.8875,6.3,8,26.875,24.025,84
Aplonis grandis,Sturnidae,Passeriformes,134,Forest,1,Herbivore,Frugivore,1,Insessorial,27.22,15.175,7.2,8.81,32,21.3125,103
Aplonis insularis,Sturnidae,Passeriformes,69.9,Forest,2,Herbivore,Frugivore,1,Insessorial,22.9,13.3,6.575,8.175,25.200000000000003,20.7,66.5
Aplonis magna,Sturnidae,Passeriformes,190,Forest,2,Herbivore,Frugivore,1,Insessorial,26.5,14.925,6.791666666666666,8.008333333333333,28.316666666666666,28.883333333333333,173.68333333333334
Aplonis metallica,Sturnidae,Passeriformes,56.5,Forest,2,Herbivore,Frugivore,1,Insessorial,22.878571428571426,12.923076923076923,5.816666666666666,7.183333333333334,22.303333333333335,34.723076923076924,100.3
Aplonis minor,Sturnidae,Passeriformes,42,Forest,2,Herbivore,Frugivore,1,Insessorial,19.509999999999998,10.7,4.793749999999999,5.425000000000001,19.985,34.625,59.625
Aplonis mysolensis,Sturnidae,Passeriformes,62,Forest,2,Herbivore,Frugivore,1,Insessorial,25.48125,14.075,5.99375,7.9875,23.70625,29.3,92.8
Aplonis mystacea,Sturnidae,Passeriformes,68.7,Forest,1,Herbivore,Frugivore,1,Insessorial,18.3,11.79,5.7,7.51,20.3,27.68,84.4
Aplonis opaca,Sturnidae,Passeriformes,83.4,Forest,1,Herbivore,Omnivore,1,Insessorial,27.02,15,7.119999999999999,8.49,30.4,23.8125,88.2
Aplonis panayensis,Sturnidae,Passeriformes,56.2,Shrubland,1,Herbivore,Frugivore,1,Insessorial,22.21875,12.991666666666667,5.206250000000001,6.2875,21.7875,34.88333333333333,59.3875
Aplonis pelzelni,Sturnidae,Passeriformes,47,Forest,1,Herbivore,Frugivore,1,Insessorial,24.016666666666666,14.016666666666666,5.4,6.016666666666667,25.516666666666666,20.78333333333333,64.31666666666666
Aplonis santovestris,Sturnidae,Passeriformes,68.7,Forest,1,Herbivore,Omnivore,1,Insessorial,21.8,11.9,5.1,5.8,26.2,19.5,55
Aplonis striata,Sturnidae,Passeriformes,54.2,Forest,2,Herbivore,Frugivore,1,Insessorial,19.5,10.912500000000001,5.279999999999999,6.71,23.21,24.8125,70.4
Aplonis tabuensis,Sturnidae,Passeriformes,62.5,Forest,1,Herbivore,Frugivore,1,Insessorial,20.6,11.9875,5.3125,6.324999999999999,25.7125,22.1125,62.225
Aplonis zelandica,Sturnidae,Passeriformes,68.7,Forest,1,Herbivore,Frugivore,1,Insessorial,22.82,12.675,5.82,6.59,27.12,21.1875,64.4
Aprositornis disjuncta,Thamnophilidae,Passeriformes,15,Forest,1,Carnivore,Invertivore,1,Insessorial,18.61,11.977777777777778,4.016666666666667,4.105555555555555,24.683333333333334,9.2,48.31666666666666
Aprosmictus erythropterus,Psittaculidae,Psittaciformes,136,Forest,2,Herbivore,Omnivore,1,Insessorial,23.59,17.0125,12.02,17.11,20.009999999999998,45.5,140
Aprosmictus jonquillaceus,Psittaculidae,Psittaciformes,119,Woodland,2,Herbivore,Omnivore,1,Insessorial,24.5125,18.7875,12.5125,18.225,19.4125,38.5,160.5
Aptenodytes forsteri,Spheniscidae,Sphenisciformes,33569.3,Marine,3,Carnivore,Aquatic predator,2,Aquatic,94.2,53.49,13.879999999999999,17.72,47.225,3.7,117.5
Aptenodytes patagonicus,Spheniscidae,Sphenisciformes,11731.1,Marine,3,Carnivore,Aquatic predator,2,Aquatic,105.61,65.6875,10.99,17.82,52.175000000000004,3.7,63.775
Apteryx australis,Apterygidae,Apterygiformes,2320.5,Forest,1,Carnivore,Invertivore,1,Terrestrial,126.38,2,4.720000000000001,5.8100000000000005,66.975,0.1,0.1
Apteryx haastii,Apterygidae,Apterygiformes,2022.7,Forest,2,Carnivore,Invertivore,1,Terrestrial,139.08333333333331,6.29,4.894444444444445,5.594444444444444,74.88888888888889,0.1,0.1
Apteryx mantelli,Apterygidae,Apterygiformes,2320.5,Forest,1,Carnivore,Invertivore,1,Terrestrial,140.58749999999998,4.324999999999999,4.3,4.4875,64,0.1,0.1
Apteryx owenii,Apterygidae,Apterygiformes,1238.3,Forest,1,Carnivore,Invertivore,1,Terrestrial,85.31,2,3.29,3.6100000000000003,59.61,0.1,0.1
Apteryx rowi,Apterygidae,Apterygiformes,1924,Forest,1,Carnivore,Invertivore,1,Terrestrial,157,2.4,4.7,5.3,84,0.1,0.1
Apus acuticauda,Apodidae,Caprimulgiformes,39.4,Forest,1,Carnivore,Invertivore,3,Aerial,13,4.1,3.1,3,15.2,69,71
Apus aequatorialis,Apodidae,Caprimulgiformes,92.8,Shrubland,1,Carnivore,Invertivore,2,Aerial,14.69,5.1875,4.3,3.125,16.4,71.9125,90.2
Apus affinis,Apodidae,Caprimulgiformes,22.6,Human Modified,1,Carnivore,Invertivore,3,Aerial,8.51,3.875,5.6,2.7874999999999996,10.3,66.01249999999999,41.5
Apus alexandri,Apodidae,Caprimulgiformes,39.4,Rock,1,Carnivore,Invertivore,NA,Aerial,8.7,3.125,2.9124999999999996,2.025,8.712499999999999,70.3,54.225
Apus apus,Apodidae,Caprimulgiformes,37.6,Human Modified,1,Carnivore,Invertivore,3,Aerial,10.2,4.3125,4.01875,2.7928571428571427,8.813636363636364,71.57499999999999,67.40833333333333
Apus balstoni,Apodidae,Caprimulgiformes,42.8,Rock,1,Carnivore,Invertivore,2,Aerial,11.5,4.2125,3.525,2.6,11,70.6875,71.225
Apus barbatus,Apodidae,Caprimulgiformes,42.8,Rock,1,Carnivore,Invertivore,2,Aerial,12.307142857142857,4.478571428571429,3.2857142857142856,2.692857142857143,12.792857142857144,71.89285714285714,76.70714285714286
Apus batesi,Apodidae,Caprimulgiformes,22.1,Forest,1,Carnivore,Invertivore,2,Aerial,8.3875,2.8,3.0875000000000004,1.9,9.5125,65,59.68333333333334
Apus berliozi,Apodidae,Caprimulgiformes,38.2,Rock,1,Carnivore,Invertivore,NA,Aerial,10.787500000000001,4.5875,3.775,2.7125000000000004,13.575,69.9875,72.775
Apus bradfieldi,Apodidae,Caprimulgiformes,42.4,Desert,1,Carnivore,Invertivore,2,Aerial,11.79,4.1,3.8899999999999997,2.6125,12.89,70.67500000000001,73.6
Apus caffer,Apodidae,Caprimulgiformes,22.1,Shrubland,1,Carnivore,Invertivore,3,Aerial,9.02,3.0125,2.9,2.0125,10.49,69.1,73.8
Apus cooki,Apodidae,Caprimulgiformes,39.4,Woodland,1,Carnivore,Invertivore,2,Aerial,8,4.6,4,2.8,12.9,69.4,71.8
Apus horus,Apodidae,Caprimulgiformes,27.5,Shrubland,1,Carnivore,Invertivore,2,Aerial,9.6125,3.692857142857143,3.01875,2.2857142857142856,10.2,69.80714285714285,56.6
Apus leuconyx,Apodidae,Caprimulgiformes,39.4,Woodland,1,Carnivore,Invertivore,2,Aerial,8,4.6,4,2.8,12.9,69.4,71.8
Apus melba,Apodidae,Caprimulgiformes,100.4,Rock,1,Carnivore,Invertivore,3,Aerial,12.7,5.7875,4.52,3.22,15.42142857142857,72.47727272727272,86.19375
Apus niansae,Apodidae,Caprimulgiformes,32.5,Rock,1,Carnivore,Invertivore,2,Aerial,9.575,3.1,2.8125,2.5,12.425,70.5,66.775
Apus nipalensis,Apodidae,Caprimulgiformes,29.8,Human Modified,1,Carnivore,Invertivore,3,Aerial,8.879999999999999,3.525,3.1900000000000004,2.1125,11.290000000000001,67.5875,48
Apus pacificus,Apodidae,Caprimulgiformes,39.4,Woodland,1,Carnivore,Invertivore,2,Aerial,7.99,4.6125,3.98,2.8125,12.925,69.3875,71.8
Apus pallidus,Apodidae,Caprimulgiformes,41.9,Rock,1,Carnivore,Invertivore,3,Aerial,11.3,4.5875,3.7874999999999996,2.3,11.412500000000001,72.29166666666666,72
Apus salimalii,Apodidae,Caprimulgiformes,39.4,Woodland,1,Carnivore,Invertivore,2,Aerial,8,4.6,4,2.8,12.9,69.4,71.8
Apus unicolor,Apodidae,Caprimulgiformes,22.5,Rock,1,Carnivore,Invertivore,2,Aerial,9.587499999999999,3.1125,2.775,2.125,11.075,71.7125,69.5
Aquila adalberti,Accipitridae,Accipitriformes,2958,Woodland,1,Carnivore,Vertivore,2,Generalist,61.212500000000006,39.8125,21.1125,30.9875,98.42500000000001,39.6875,297
Aquila africana,Accipitridae,Accipitriformes,1047,Woodland,1,Carnivore,Vertivore,2,Generalist,39.3875,23.3875,12.8125,20.4,76.6125,27.424999999999997,277.775
Aquila audax,Accipitridae,Accipitriformes,3449.9,Woodland,1,Carnivore,Vertivore,2,Generalist,60.483333333333334,40.875,19.59166666666667,31.21666666666667,103.98333333333333,39.6,387
Aquila chrysaetos,Accipitridae,Accipitriformes,4248,Grassland,3,Carnivore,Vertivore,2,Aerial,56.775,36.98125,18.5,28.38125,101.42500000000001,36.7,307.1125
Aquila fasciata,Accipitridae,Accipitriformes,1936.5,Rock,3,Carnivore,Vertivore,2,Aerial,45.6875,28.9,16.1875,23.7,93.225,37.3125,260
Aquila gurneyi,Accipitridae,Accipitriformes,3060,Forest,1,Carnivore,Vertivore,1,Aerial,55.3875,33.3,16.6125,21.916666666666664,99.3875,33.775,365.5
Aquila heliaca,Accipitridae,Accipitriformes,3125.2,Woodland,1,Carnivore,Vertivore,3,Generalist,59.019999999999996,37.5,19.79,28.42,93.71000000000001,39.475,316.225
Aquila nipalensis,Accipitridae,Accipitriformes,2714.3,Grassland,3,Carnivore,Vertivore,3,Aerial,54.08,32.375,17.71,25.22,95.1,40.475,271.4
Aquila rapax,Accipitridae,Accipitriformes,2236.1,Shrubland,2,Carnivore,Vertivore,3,Generalist,53.989999999999995,31.525,16.78,24.28,84.32,38.7,242.4
Aquila spilogaster,Accipitridae,Accipitriformes,1466.2,Grassland,3,Carnivore,Vertivore,1,Generalist,43.980000000000004,27.5,14.4,22.61,91.08,35.1875,254.8
Aquila verreauxii,Accipitridae,Accipitriformes,4195,Rock,3,Carnivore,Vertivore,1,Aerial,58.212500000000006,35.475,18.2875,27.587500000000002,117.3875,33.975,403.5
Ara ambiguus,Psittacidae,Psittaciformes,1300,Forest,1,Herbivore,Granivore,1,Insessorial,74.97999999999999,71.3,32.31999999999999,74.00999999999999,37.019999999999996,39.1875,445.2
Ara ararauna,Psittacidae,Psittaciformes,1125,Forest,1,Herbivore,Omnivore,1,Insessorial,66.00769230769231,61.9,30.189999999999998,55.125,31.903846153846153,30.095454545454544,492.4807692307692
Ara chloropterus,Psittacidae,Psittaciformes,1214,Forest,1,Herbivore,Omnivore,1,Insessorial,76.71000000000001,74.6,35.18333333333334,75.10833333333332,34.3,41.50625,486.4222222222222
Ara glaucogularis,Psittacidae,Psittaciformes,784,Forest,2,Herbivore,Frugivore,1,Insessorial,59.620000000000005,51.712500000000006,24.58,51.120000000000005,30.08,33.1125,477
Ara macao,Psittacidae,Psittaciformes,1015,Forest,2,Herbivore,Omnivore,1,Insessorial,67.17500000000001,64.10624999999999,31.810000000000002,63.525,31.625,32.69,554.5
Ara militaris,Psittacidae,Psittaciformes,1134,Forest,2,Herbivore,Frugivore,1,Insessorial,56.608333333333334,49.3125,27.18,57.19,28.807142857142857,41.1,366.1214285714286
Ara rubrogenys,Psittacidae,Psittaciformes,468,Shrubland,2,Herbivore,Granivore,1,Insessorial,50.489999999999995,46.519999999999996,24.68,50.120000000000005,27.08,37.92,321.4
Ara severus,Psittacidae,Psittaciformes,343,Forest,1,Herbivore,Omnivore,1,Insessorial,39.68666666666667,36.125,20.522727272727273,36.913636363636364,20.703846153846154,35.90416666666667,242.61666666666667
Arachnothera affinis,Nectariniidae,Passeriformes,26.4,Forest,1,Omnivore,Omnivore,1,Insessorial,38.30714285714286,28.59166666666667,5.121428571428572,4.8,18.32142857142857,20.583333333333336,52.58571428571429
Arachnothera chrysogenys,Nectariniidae,Passeriformes,23.2,Forest,1,Omnivore,Omnivore,1,Insessorial,43.4,36.287499999999994,5.720000000000001,4.49,18.42,18.012500000000003,39.6
Arachnothera clarae,Nectariniidae,Passeriformes,30.1,Forest,1,Omnivore,Omnivore,1,Insessorial,41.3,32.5125,5.6125,4.7,20.4125,12.7,41.6125
Arachnothera crassirostris,Nectariniidae,Passeriformes,16,Forest,1,Omnivore,Omnivore,1,Insessorial,33.475,26.9,4.708333333333334,4.708333333333334,16.191666666666666,20.38,42.6
Arachnothera dilutior,Nectariniidae,Passeriformes,11.2,Forest,1,Omnivore,Nectarivore,1,Insessorial,41.8,34.3,4,3.8,17.5,14.1,42
Arachnothera everetti,Nectariniidae,Passeriformes,26.4,Forest,1,Omnivore,Omnivore,1,Insessorial,42.27777777777777,32.87777777777778,6.122222222222222,5.5777777777777775,19.5,18.016666666666666,55.6125
Arachnothera flammifera,Nectariniidae,Passeriformes,11.8,Forest,1,Omnivore,Nectarivore,1,Insessorial,41.8,34.3,4,3.8,17.5,14.1,42
Arachnothera flavigaster,Nectariniidae,Passeriformes,38.4,Forest,1,Omnivore,Omnivore,1,Insessorial,40.3,31.875,7.3875,6,20.375,18.225,44.5
Arachnothera juliae,Nectariniidae,Passeriformes,30.1,Forest,1,Omnivore,Omnivore,1,Insessorial,47,35.975,5.390000000000001,4.48,17.990000000000002,23.2,44.2
Arachnothera longirostra,Nectariniidae,Passeriformes,12.5,Forest,1,Omnivore,Nectarivore,1,Insessorial,41.785,34.316,3.9923076923076923,3.8038461538461537,17.50769230769231,14.112,42
Arachnothera magna,Nectariniidae,Passeriformes,30.7,Forest,1,Omnivore,Omnivore,1,Insessorial,46.78333333333333,35.875,5.9222222222222225,5.611111111111111,20.6,18.50625,49.57777777777778
Arachnothera modesta,Nectariniidae,Passeriformes,26.4,Forest,1,Omnivore,Omnivore,1,Insessorial,38.775,30.025,5.5875,5.0125,18.7,18.0875,48.775
Arachnothera robusta,Nectariniidae,Passeriformes,29.3,Forest,1,Omnivore,Invertivore,1,Insessorial,58.19,48.7,6.08,5.890000000000001,17.4,20.9,52.2
Aramides albiventris,Rallidae,Gruiformes,514,Forest,1,Carnivore,Aquatic predator,1,Terrestrial,51.3,27.9,5.3,11.1,63,11.6,62.8
Aramides axillaris,Rallidae,Gruiformes,292,Woodland,1,Carnivore,Aquatic predator,1,Terrestrial,40.5,21.775,5.1125,10.0125,53.087500000000006,24.2125,53.5
Aramides cajaneus,Rallidae,Gruiformes,397,Forest,1,Carnivore,Aquatic predator,1,Terrestrial,51.30714285714286,27.9,5.3,11.075,63.00714285714285,11.583333333333332,62.8
Aramides calopterus,Rallidae,Gruiformes,320.5,Forest,1,Omnivore,Omnivore,1,Terrestrial,47.0125,24.7125,5.324999999999999,10.225,64.7,10.8125,46.775
Aramides mangle,Rallidae,Gruiformes,183,Woodland,2,Carnivore,Aquatic predator,1,Terrestrial,40.3,23.2125,4.5,9.61,53.510000000000005,27.1875,55.5
Aramides saracura,Rallidae,Gruiformes,540,Forest,1,Omnivore,Omnivore,1,Terrestrial,59.28,29.375,11.6,16.016666666666666,71.59,11.675,65.9
Aramides wolfi,Rallidae,Gruiformes,454,Woodland,1,Omnivore,Omnivore,1,Terrestrial,54.016666666666666,28.208333333333336,4.975,10.908333333333335,72.7,11.825,49.5
Aramides ypecaha,Rallidae,Gruiformes,700.1,Forest,1,Omnivore,Omnivore,1,Terrestrial,77.28,38.1,6.52,13.89,85.31,14.0125,87.8
Aramidopsis plateni,Rallidae,Gruiformes,116,Woodland,2,Carnivore,Aquatic predator,1,Terrestrial,49.8,29.7,3.9,8.5,58.2,4.3,36
Aramus guarauna,Aramidae,Gruiformes,1080,Wetland,3,Carnivore,Aquatic predator,1,Terrestrial,130.41250000000002,84.8875,8.775,13.425,84.57499999999999,11.083333333333332,225.775
Aratinga auricapillus,Psittacidae,Psittaciformes,130,Forest,2,Herbivore,Omnivore,1,Insessorial,29.009999999999998,23.8875,13.31,23.29,15.91,47.975,135.4
Aratinga jandaya,Psittacidae,Psittaciformes,89.4,Forest,2,Herbivore,Frugivore,1,Insessorial,27.98,22.9875,12.7,24.62,14.91,42.025,138.72
Aratinga maculata,Psittacidae,Psittaciformes,119.6,Forest,2,Herbivore,Frugivore,1,Insessorial,24.42142857142857,22.8,13.3,21.392857142857142,13.87857142857143,40.58571428571429,135.3857142857143
Aratinga nenday,Psittacidae,Psittaciformes,128,Forest,2,Herbivore,Omnivore,1,Insessorial,25.7875,23.875,12.587499999999999,23.2875,16.7125,46.5,179.5
Aratinga solstitialis,Psittacidae,Psittaciformes,119.6,Forest,2,Herbivore,Frugivore,1,Insessorial,28.1875,22.775,12.775,24.8125,14.825,41.3,137.775
Aratinga weddellii,Psittacidae,Psittaciformes,108,Forest,1,Herbivore,Frugivore,1,Insessorial,23.375,21.6875,12.6125,23.5875,13.28125,43.49375,103.20714285714286
Arborophila ardens,Phasianidae,Galliformes,266.6,Forest,1,Omnivore,Omnivore,1,Terrestrial,21.875,9.9,5.3,7.883333333333333,38.416666666666664,26.2,42.1
Arborophila atrogularis,Phasianidae,Galliformes,237.3,Forest,1,Herbivore,Omnivore,1,Terrestrial,21.28,9,5.6,7.09,37.6,27.424999999999997,48.6
Arborophila brunneopectus,Phasianidae,Galliformes,291.5,Forest,1,Herbivore,Omnivore,1,Terrestrial,22.41,9.225,5.48,7.01,38.6,26.7875,49.8
Arborophila cambodiana,Phasianidae,Galliformes,285.9,Forest,1,Herbivore,Omnivore,1,Terrestrial,22.983333333333334,9.8,5.824999999999999,7.716666666666667,38.81666666666666,23.025,52
Arborophila campbelli,Phasianidae,Galliformes,336,Forest,1,Herbivore,Omnivore,1,Terrestrial,21.9,9.3875,5.5875,7.5125,40.4,25.025,52
Arborophila crudigularis,Phasianidae,Galliformes,256.8,Forest,1,Herbivore,Omnivore,1,Terrestrial,23.6,10.225,5.6,7.975,38.3875,27.1,52
Arborophila davidi,Phasianidae,Galliformes,241,Forest,1,Herbivore,Omnivore,1,Terrestrial,25.125,8.816666666666666,5.083333333333333,7.083333333333333,36.483333333333334,26.383333333333333,49.31666666666666
Arborophila gingica,Phasianidae,Galliformes,253,Woodland,1,Herbivore,Omnivore,1,Terrestrial,22.39,8.3125,4.8100000000000005,6.390000000000001,39.82,28.025,55.6
Arborophila hyperythra,Phasianidae,Galliformes,270,Forest,1,Herbivore,Omnivore,1,Terrestrial,22.1,10.59,5.52,8.31,43.89,19.310000000000002,49.6
Arborophila javanica,Phasianidae,Galliformes,272,Forest,1,Herbivore,Omnivore,1,Terrestrial,24.1,10.5125,5.8100000000000005,7.82,42.91,25.4125,46.8
Arborophila mandellii,Phasianidae,Galliformes,268,Forest,1,Herbivore,Omnivore,1,Terrestrial,22.18,8.5,4.619999999999999,6.5,39.4,21.9875,48.2
Arborophila orientalis,Phasianidae,Galliformes,336,Forest,1,Herbivore,Omnivore,1,Terrestrial,22.2125,9.6125,5.9,8.075,43,23.2,50.225
Arborophila rolli,Phasianidae,Galliformes,336,Forest,1,Herbivore,Omnivore,1,Terrestrial,23.5,9.6,5.6,8.4,43.5,22.6,43.8
Arborophila rubrirostris,Phasianidae,Galliformes,225.4,Forest,1,Herbivore,Omnivore,1,Terrestrial,22.1125,9.075,5.324999999999999,7.2,41.225,27.125,41
Arborophila rufipectus,Phasianidae,Galliformes,400.1,Forest,1,Herbivore,Omnivore,1,Terrestrial,21.3,8,4.6,6.5,43,19.1,69
Arborophila rufogularis,Phasianidae,Galliformes,344.5,Forest,1,Herbivore,Omnivore,1,Terrestrial,22.21,8.212499999999999,4.82,6.38,37.120000000000005,25.475,49
Arborophila sumatrana,Phasianidae,Galliformes,336,Forest,1,Herbivore,Omnivore,1,Terrestrial,22.8,8.8,5.7,7.8,44.4,17.9,47
Arborophila torqueola,Phasianidae,Galliformes,344.5,Forest,1,Herbivore,Omnivore,1,Terrestrial,21.11,7.6875,5.02,6.18,41.58,25.200000000000003,56
Arcanator orostruthus,Modulatricidae,Passeriformes,32.7,Forest,1,Carnivore,Invertivore,1,Terrestrial,19.3,10.1,3.5,3.9,27.5,13.5,70
Archboldia papuensis,Ptilonorhynchidae,Passeriformes,177.6,Forest,1,Omnivore,Omnivore,2,Insessorial,33.5125,14.787500000000001,8.175,9.4,43.3875,17.799999999999997,158.3125
Archilochus alexandri,Trochilidae,Caprimulgiformes,3.4,Forest,2,Herbivore,Nectarivore,3,Aerial,21.6125,17.225,1.4125,1.5875,3.925,64.3875,24.5
Archilochus colubris,Trochilidae,Caprimulgiformes,3.1,Woodland,2,Omnivore,Nectarivore,3,Generalist,20.71,15.094999999999999,1.7863636363636364,1.9045454545454545,3.3916666666666666,65,24.30909090909091
Ardea alba,Ardeidae,Pelecaniformes,871.3,Wetland,3,Carnivore,Aquatic predator,2,Terrestrial,126.2875,90.4,12.01,18.079166666666666,141.57999999999998,32.125,140.5125
Ardea cinerea,Ardeidae,Pelecaniformes,1443,Wetland,3,Carnivore,Aquatic predator,1,Terrestrial,138.89444444444445,95.5,18.7,25.4,137.91250000000002,34.61666666666667,169.10555555555555
Ardea cocoi,Ardeidae,Pelecaniformes,1752.4,Wetland,3,Carnivore,Aquatic predator,1,Terrestrial,146.91666666666669,120.1125,18.694444444444443,28.22222222222222,186.3875,31.8,178.31666666666666
Ardea goliath,Ardeidae,Pelecaniformes,4468,Wetland,3,Carnivore,Aquatic predator,1,Terrestrial,198.78,159.775,22.82,35.29,236.61,32.4875,228.6
Ardea herodias,Ardeidae,Pelecaniformes,2523.4,Wetland,3,Carnivore,Aquatic predator,2,Terrestrial,143.92000000000002,106.025,15.91,24.21,167.6,36.6,165.32
Ardea humbloti,Ardeidae,Pelecaniformes,1060,Coastal,3,Carnivore,Aquatic predator,1,Terrestrial,144.5,118,18,26.3125,172.5,37.5,169.775
Ardea insignis,Ardeidae,Pelecaniformes,2024,Wetland,3,Carnivore,Aquatic predator,1,Terrestrial,160.41,129.225,18.509999999999998,28.42,178.49,36.287499999999994,194
Ardea intermedia,Ardeidae,Pelecaniformes,458.8,Wetland,3,Carnivore,Aquatic predator,2,Terrestrial,81.51666666666667,60.32142857142857,10.51,13.99,105.32,30.289285714285715,117.2
Ardea melanocephala,Ardeidae,Pelecaniformes,1060,Wetland,3,Carnivore,Omnivore,1,Terrestrial,103.775,81.82499999999999,14.6,22.308333333333334,137.60833333333335,36.287499999999994,146.5
Ardea pacifica,Ardeidae,Pelecaniformes,881,Wetland,3,Carnivore,Omnivore,2,Terrestrial,88.19,72,11.9,16.09,131.28,40.8,161
Ardea purpurea,Ardeidae,Pelecaniformes,1064.5,Wetland,3,Carnivore,Aquatic predator,3,Terrestrial,125.92,102.5,13.58,19.59,117.5,33.9,113.2
Ardea sumatrana,Ardeidae,Pelecaniformes,2024,Coastal,3,Carnivore,Aquatic predator,1,Terrestrial,173.0125,123.6,18.375,27.01875,156.78750000000002,28.8,160.225
Ardenna bulleri,Procellariidae,Procellariiformes,407,Marine,3,Carnivore,Aquatic predator,3,Aquatic,41,32.475,7.6125,10.2,48.6,59.1125,109
Ardenna carneipes,Procellariidae,Procellariiformes,609,Marine,3,Carnivore,Aquatic predator,3,Aerial,47.81,31.125,8.89,12.11,52.1,60.9875,110.2
Ardenna creatopus,Procellariidae,Procellariiformes,744,Marine,3,Carnivore,Aquatic predator,3,Generalist,48.39,33,9.219999999999999,12.5,52.510000000000005,62.625,112.2
Ardenna gravis,Procellariidae,Procellariiformes,849,Marine,3,Carnivore,Aquatic predator,3,Aerial,54.71,36.287499999999994,8.29,11.31,58.11,61.875,112.8
Ardenna grisea,Procellariidae,Procellariiformes,787,Marine,3,Carnivore,Aquatic predator,3,Generalist,47.81,31.1,7.79,10,55.78,61.8,88
Ardenna pacifica,Procellariidae,Procellariiformes,388,Marine,3,Carnivore,Aquatic predator,3,Generalist,40.91,30.6875,7.92,10.08,46.879999999999995,61.375,130.4
Ardenna tenuirostris,Procellariidae,Procellariiformes,559,Marine,3,Carnivore,Aquatic predator,3,Generalist,37.2,22.2,6.52,7.49,49.31,63.8125,82.8
Ardeola bacchus,Ardeidae,Pelecaniformes,304.9,Wetland,3,Carnivore,Aquatic predator,2,Terrestrial,72.9,52.375,9.2,12.19,56.21,26.8125,73.4
Ardeola grayii,Ardeidae,Pelecaniformes,253,Wetland,3,Carnivore,Aquatic predator,2,Terrestrial,72.38,50.115,9.32,12.075,57.32,28.72,74
Ardeola idae,Ardeidae,Pelecaniformes,253,Wetland,3,Carnivore,Aquatic predator,1,Terrestrial,68.28999999999999,51.9,9.19,12.71,60.42,32.712500000000006,88.6
Ardeola ralloides,Ardeidae,Pelecaniformes,287,Wetland,3,Carnivore,Aquatic predator,3,Terrestrial,72.78,51.525,9.09,11.8,59.4,32.385714285714286,75.8
Ardeola rufiventris,Ardeidae,Pelecaniformes,201.5,Wetland,3,Carnivore,Aquatic predator,1,Terrestrial,66.82499999999999,48.475,9.4,12.825,54.1875,27.2,72
Ardeola speciosa,Ardeidae,Pelecaniformes,253,Wetland,3,Carnivore,Aquatic predator,2,Terrestrial,68.8125,50.712500000000006,9.212499999999999,11.6125,57.525,26.3125,63.225
Ardeotis arabs,Otididae,Otidiformes,5943.5,Grassland,3,Omnivore,Omnivore,1,Terrestrial,87.4,49.1,16.5875,14.287500000000001,163.41250000000002,45.9875,276.2125
Ardeotis australis,Otididae,Otidiformes,4182.4,Grassland,3,Omnivore,Omnivore,1,Terrestrial,79.3,42.025,19.375,18.9,175.5,43.975,304
Ardeotis kori,Otididae,Otidiformes,7994.2,Grassland,3,Omnivore,Omnivore,1,Terrestrial,112.28,62.625,20.98,21.09,210.225,40.1,353.28999999999996
Ardeotis nigriceps,Otididae,Otidiformes,7235.3,Grassland,3,Omnivore,Omnivore,1,Terrestrial,88.68,44.375,18.18,17.89,183.225,42.375,256.8
Arenaria interpres,Scolopacidae,Charadriiformes,136,Coastal,3,Carnivore,Aquatic predator,3,Terrestrial,25.40833333333333,15.6875,3.908333333333333,5.516666666666667,25.491666666666667,55.625,61
Arenaria melanocephala,Scolopacidae,Charadriiformes,126.2,Coastal,3,Carnivore,Aquatic predator,3,Terrestrial,25.42,15.225,3.79,5.02,25.79,51.087500000000006,61.2
Argusianus argus,Phasianidae,Galliformes,1959.9,Forest,1,Herbivore,Frugivore,1,Terrestrial,40.81111111111111,17.31875,8.311111111111112,11.083333333333332,90.89375000000001,7.983333333333333,715.775
Argya affinis,Leiotrichidae,Passeriformes,63.3,Shrubland,2,Omnivore,Invertivore,1,Generalist,20.6,11.775,4.220000000000001,6.7,33.620000000000005,11.775,100.6
Argya altirostris,Leiotrichidae,Passeriformes,33,Wetland,2,Carnivore,Invertivore,1,Generalist,20.9875,14.675,4.1875,6.3125,27.375,9.6125,100.5
Argya aylmeri,Leiotrichidae,Passeriformes,35.3,Shrubland,2,Omnivore,Invertivore,1,Generalist,19.090000000000003,12.4875,3.6100000000000003,5.28,23.9,6.574999999999999,114.6
