Group,Genus,Species,Subspecies,Specimen ID,Date,Data,Country,Locality,Elevation,Other Info,Sex,Mass,Wing.Length,Secondary.Length,Kipps_D,HWI,Tarsus.Length,Tail.Length,Beak.Width,Beak.Depth,Beak.Length_Culmen,Measurer
Mainland,Euphonia,affinis,affinis,1557,,N,"HONDURAS, MORAZAN",,2600FT,,M,NA,50.52,45.1,5.42,10.72842439,13.72,34.49,3.96,4.12,6.43,Mia
Mainland,Euphonia,affinis,affinis,1558,,N,"HONDURAS, PARAISO",,1900ft,,F,NA,51.92,42.4,9.52,18.33590139,13.7,31.96,4.59,4.15,6.51,Mia
Mainland,Euphonia,affinis,affinis,5029,,N,"HONDURAS, MORAZAN",,2600ft,,F,NA,50.64,42.17,8.47,16.72590837,13.19,32.29,4.87,3.84,6.56,Mia
Mainland,Euphonia,affinis,affinis,5027,,N,"=VLOOKUP(E107,Euph_Chlor!W160A$1:G$81,6,FALSE)",,2600FT,,F,NA,53.85,43.01,10.84,20.12999071,12.87,31.74,4.66,3.7,6.65,Mia
Mainland,Euphonia,chlorotica,,9879,,N,BRAZIL,,,,,NA,51.03,47.71,3.32,6.505976876,15.84,40.93,3.87,4.79,8.51,Brynn
Mainland,Euphonia,saturata,,36058,,N,"COLOMBIA, TOLIMA",,,,M,NA,59.54,47.64,11.9,19.98656365,14.04,38.38,4.22,4.15,7.03,Brynn
Island,Euphonia,violacea,rodwayi,45979,,Y,"TRINIDAD & TOBAGO, TRINIDAD, ST. GEORGE CO.",,,,M,NA,58.34,44.93,13.41,22.98594446,14.25,37.27,5.38,5.44,8.86,Mia
Island,Euphonia,violacea,rodwayi,42650,,Y,"TRINIDAD & TOBAGO, TRINIDAD, ST. GEORGE CO.",,,,M,14.3,58.98,48.91,10.07,17.07358427,16.42,40,4.84,5.34,8.53,Brynn
Island,Euphonia,violacea,rodwayi,45859,,Y,"TRINIDAD & TOBAGO, TRINIDAD, ST. GEORGE CO.",,,,F,13.6,55.19,45.25,9.94,18.01050915,14.43,36.16,6.2,5.8,9.25,Mia
Island,Euphonia,violacea,rodwayi,10807,,N,"TRINIDAD & TOBAGO, TRINIDAD, NARIVA CO.",,,,M,NA,57.57,45.16,12.41,21.55636616,15.94,35.4,4.66,4.6,8.91,Brynn
Island,Euphonia,violacea,rodwayi,46421,,Y,"TRINIDAD & TOBAGO, TRINIDAD, ST. GEORGE CO.",,,,F,14.6,57.04,47.59,9.45,16.56732118,15.93,32.32,5.77,5.35,9.26,Mia
Island,Euphonia,violacea,rodwayi,46365,,Y,"TRINIDAD & TOBAGO, TRINIDAD, ST. GEORGE CO.",,,,M,15.3,59.51,46.46,13.05,21.92908755,14.21,30.06,4.43,5.12,8.93,Brynn
Island,Euphonia,violacea,rodwayi,46429,,Y,"TRINIDAD & TOBAGO, TRINIDAD, ST. GEORGE CO.",,,,M,14,58.95,47.72,11.23,19.05004241,14.89,34.25,4.92,5.42,9.07,Mia
Mainland,Euphonia,pectoralis,,9877,,N,BRAZIL,,,,,NA,64.98,52.38,12.6,19.39058172,15.57,38.14,5.54,5.5,9.9,Mia
Island,Euphonia,laniirostris,,21877,,N,"PANAMA, PANAMA PROVINCE",,,,M,NA,64.23,50.03,14.2,22.1080492,15.48,35.85,4.69,5.6,9.01,Brynn
Mainland,Euphonia,rufiventris,,9878,,N,BRAZIL,,,,,NA,57.84,48.67,9.17,15.85408022,14.68,34.82,5.3,5,8.53,Mia
Mainland,Euphonia,laniirostris,,36061,,N,"COLOMBIA, TOLIMA",,,,M,NA,57.28,43.18,14.1,24.61592179,13.9,43.74,4.9,6,9.94,Brynn
Mainland,Euphonia,minuta,,36065,,N,"SURINAME, BROKOPONDO DISTRICT",,,,F,NA,46.43,38.84,7.59,16.34718932,12.18,24.3,4.04,3.63,6.45,Mia
Mainland,Euphonia,laniirostris,,36059,,N,"COLOMBIA, TOLIMA",,,,M,NA,65.56,50.28,15.28,23.30689445,14.68,42.64,5.49,NA,9.56,Brynn
Mainland,Euphonia,minuta,,36066,,N,"SURINAME, BROKOPONDO DISTRICT",,,,M,NA,48.04,38.41,9.63,20.04579517,12.6,24.8,4.51,3.82,7.52,Mia
Mainland,Euphonia,laniirostris,,36060,,N,"COLOMBIA, CESAR",,,,F,NA,57.1,46.54,10.56,18.4938704,14.17,36.43,5.4,NA,9.43,Brynn
Mainland,Euphonia,gouldi,gouldi,5012,,N,"MEXICO, OAXACA",,,,F,NA,54.81,43.51,11.3,20.61667579,14.01,31,5.19,4.79,8.71,Mia
Mainland,Euphonia,gouldi,gouldi,5011,,N,"MEXICO, OAXACA",,,,M,NA,55.18,40.06,15.12,27.40123233,13.67,32.09,4.93,5.28,8.47,Mia
Mainland,Euphonia,laniirostris,hypoxantha,20451,,N,"ECUADOR, PROV. GUAYAS",,,,F,NA,55.52,50.74,4.78,8.609510086,15.02,39.43,4.94,5.18,9.16,Brynn
Mainland,Euphonia,gouldi,gouldi,5013,,N,"MEXICO, OAXACA",,,,M,NA,58.69,46.68,12.01,20.46345204,14.68,31.69,5.61,5.29,8.51,Mia
