Meta-archipelago,Archipelago_group,Site,Area,DistanceM,Genus,Species,Subspecies,Specimen ID,Date,Data,Country,Locality,Elevation,Other Info,Sex,Mass,Wing.Length,Secondary.Length,Kipps_D,HWI,Tarsus.Length,Tail.Length,Beak.Width,Beak.Depth,Beak.Length_Culmen,Measurer
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,48113,,11/1/1963,Mexico,"approx. 8km S from Solosuckiapa, chiapas; Rio Teapa",400ft,NA,Male,NA,60.21,44.8,15.41,25.59375519,13.74,37.61,NA,NA,NA,MIA
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,33468,elegantissima,6/4/1964,Mexico,12 air Mi. NNE Zanatepec,4900ft,NA,Female,15,60.84,43.9,16.94,27.843524,14.63,31.14,4.4,4.05,7.69,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,33472,elegantissima,4/4/1964,Mexico,12 air Mi.. NNE Zanatepec,4900ft,Little Fat,Male,15.3,62.31,48.93,13.38,21.47327877,13.91,37.6,4.24,NA,7.37,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,48108,,21/02/1961,Mexico,"Rio Hondo, 8kms E. Pueblo Nuevo Chiapas",5000ft,NA,Male,NA,61.44,49.62,11.82,19.23828125,13.1,37.31,4.66,3.84,6.95,MIA
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,48107,,21/02/1961,Mexico,"Rio Hondo, 8kms E. Pueblo Nuevo Chiapas",5000ft,NA,Female,NA,62.53,50.7,11.83,18.91891892,12.93,39.13,4.3,3.94,7.71,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,33471,elegantissima,5/4/1964,Mexico,12 air Mi. NNE Zanatepec,4900ft,Little Fat,Male,14.8g,62.01,45.96,16.05,25.88292211,13.68,32.34,4.69,3.97,6.85,Preston Ballard
Caribbean,Lesser Antilles - Kalinago,Trinidad,1,19.84,Chlorophonia,flavifrons,Euphonia,145781,flavifrons,9/2/1962,St. Martinique,Rateau,NA,NA,Male,NA,62.5,50.85,11.65,18.64,16.11,38.04,4.81,NA,7.18,Mia
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,24902,musica,11/5/1961,Mexico,Oaxaca; 4 Mi. E Matatlan,NA,NA,Female,NA,63.77,45.16,18.61,29.18300141,13,39.67,4.15,4.23,7.57,Preston Ballard
Caribbean,Greater Antilles,Trinidad,1,19.84,Chlorophonia,musica,Euphonia,145770,musica,13/08/1963,Dominican Republic,San Rafael; 8km S Elías Piña,2900ft,NA,Male,NA,63.13,48.54,14.59,23.11104071,13.77,38.45,4.9,4.39,6.85,Preston Ballard
Caribbean,Greater Antilles,Trinidad,1,19.84,Chlorophonia,sclateri,Euphonia,150196,sclateri,18/11/1987,Puerto Rico,"Municipio Cabo Rojo; Barrio Boqueron; Peñones de Melones, ca 1km WNW intersection routes 301 and 303",NA,"Little Fat, intestines mistetoe seeds.",Male,12g,59.91,42.75,17.16,28.64296445,13.12,33.62,4.44,4.25,6.67,Preston Ballard
Caribbean,Greater Antilles,Trinidad,1,19.84,Chlorophonia,sclateri,Euphonia,150195,sclateri,8/12/1987,Puerto Rico,"Municipio Cabo Rojo; Barrio Boqueron Penones de Moelones, 1 km WNW intersection routes 301 and 303",30M,"Light fat, stomach mistletoe",Female,12g,57.62,46.65,10.97,19.03852829,15.44,35.52,4.64,4.08,7.17,mia
Caribbean,Greater Antilles,Trinidad,1,19.84,Euphonia,jamaica,Euphonia,145765,,11/7/1961,Jamaica,St. Thomas Par; 14.5 mi E Kingston,NA,NA,Male,NA,62.03,50.18,11.85,19.10365952,16.82,36.59,5.19,5.94,7.63,MIA
