Meta-archipelago,Archipelago_group,Site,Area,DistanceM,Genus,Species,Subspecies,Specimen ID,Date,Data,Country,Locality,Elevation,Other Info,Sex,Mass,Wing.Length,Secondary.Length,Kipps_D,HWI,Tarsus.Length,Tail.Length,Beak.Width,Beak.Depth,Beak.Length_Culmen,Measurer
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,16057,rileyi,6/5/1950,Mexico,San Luis Potosí; Cañada Grande,6200ft,NA,Male,15,62.93,48.72,14.21,22.58064516,13.53,34.24,5.09,4.03,7.44,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Euphonia,fulvicrissa,Euphonia,165005,fulvicrissa,25/03/1999,Panama,Prov. Panama; 4.5km NW Summit Gardens on Old Gamboa Road,NA,Gut with fruit pulp - Saved,Female,11,51.31,39.8,11.51,22.43227441,14.05,31.46,4.53,4.6,8.02,MIA
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,16052,rileyi,26/04/1950,Mexico,San Luis Potosí; Santa Barbarita,3300ft,NA,Male,14.5,66.46,49.43,17.03,25.62443575,13.56,38.68,4.81,3.91,7.35,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,16059,rileyi,9/5/1950,Mexico,San Luis Potosí; Cañada Grande,6300ft,NA,Male,15.8,68.55,52.08,16.47,24.02625821,13.85,42.24,4.23,4.05,7.54,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,cyanocephala,Euphonia,140104,aureata,15/06/1941,Paraguay,La Cordillera,NA,NA,Male,NA,64.47,51.38,13.09,20.30401737,15.7,34.83,4.52,4.41,6.34,MIA
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,18245,rileyi,25/11/1951,Mexico,San Luis Potosí; Cerro Miramar,NA,NA,Male,NA,65.86,47.47,18.39,27.92286669,13.93,38.74,4.69,4.47,7.37,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,12650,rileyi,28/04/1947,Mexico,San Luis Potosí; Xilitla Region,2600ft,NA,Male,NA,65.11,48.74,16.37,25.14206727,13.13,41.1,4.77,4.09,7.45,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,cyanocephala,Euphonia,228022,cyanocephala,8/1/2018,Bolvia,"Depto. Chuguisaca; Prov. Voca Guzman, Serrania Inca Huasi, 2.6km S Ruinas Incahuasi, 19.829ºS, 63.727ºW",155M,Stomach contained green fruit,Male,15.4,64.85,52.47,12.38,19.09020817,14.46,43.9,4.32,4.23,6.45,mia
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,18724,rileyi,25/01/1952,Mexico,San Luis Potosí; San Antonio,NA,NA,Male,NA,65.06,48.5,16.56,25.45342761,13.61,34.22,4.77,4.07,7.27,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,18370,rileyi,4/12/1951,Mexico,San Luis Potosí; Cerro San Antonio,NA,NA,Male,NA,64.65,49.11,15.54,24.03712297,12.81,41.18,4.57,4.13,7.03,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,elegantissima,Euphonia,18369,rileyi,17/12/1951,Mexico,San Luis Potosí; Xilitla Region,NA,NA,Male,NA,63.31,52.03,11.28,17.81709051,13.18,39.18,4.99,4.2,7.06,Preston Ballard
Caribbean,Mainland,Trinidad,1,19.84,Chlorophonia,cyanocephala,Euphonia,22802,cyanocephala,8/1/2018,Bolvia,"Depto. Chuguisaca; Prov. Voca Guzman, Serrania Inca Huasi, 2.6km S Ruinas Incahuasi, 19.829ºS, 63.727ºW",1550m,NA,Female,12.7,62.19,46.86,15.33,24.65026532,15.46,35.36,5.66,4.3,6.93,mia
